Sample,Avg cost w tools,Avg cost w/o tools,Cost of duplicates,Cost of irrelevant,Cost of relevant,Cost of other tool calls,Final Answer cost,bg calls Cost,Total
Python 1 - 1,0.29,0.05,0.0933,0.0800,0.0010,0.0000,0.0740,0.0920,0.3403
Python 1 - 2,0.29,0.05,0.0933,0.0800,0.0010,0.0000,0.0747,0.0848,0.3338
Python 1 - 3,0.29,0.05,0.0076,0.0065,0.0001,0.0000,0.0751,0.0945,0.1838
Python 2 - 1,0.37,0.03,0.0142,0.0154,0.0152,0.1871,0.2105,0.1149,0.5573
Python 2 - 2,0.37,0.03,0.0206,0.1298,0.0842,0.0000,0.0369,0.0997,0.3712
Python 2 - 3,0.37,0.03,0.0000,0.0000,0.0000,0.0000,0.1597,0.0542,0.2139
Python 3 - 1,0.66,0.03,0.0667,0.1592,0.0000,0.0347,0.0392,0.1099,0.4097
Python 3 - 2,0.66,0.03,0.0322,0.2036,0.0024,0.5291,0.0455,0.1117,0.9245
Python 3 - 3,0.66,0.03,0.1696,0.0954,0.0020,0.2642,0.0700,0.1327,0.7340
Python 4 - 1,0.30,0.04,0.0000,0.0000,0.0000,0.0000,0.0230,0.0669,0.0899
Python 4 - 2,0.30,0.04,0.0000,0.0000,0.0000,0.0000,0.1586,0.0579,0.2165
Python 4 - 3,0.30,0.04,0.0397,0.0155,0.0000,0.0627,0.0313,0.1590,0.3082
Python 5 - 1,1.46,0.06,0.1627,0.3665,0.3915,0.4735,0.0415,0.4075,1.8432
Python 5 - 2,1.46,0.06,0.1300,0.4377,0.3627,0.9933,0.0452,0.3909,2.3598
Python 5 - 3,1.46,0.06,0.2649,0.3019,0.3521,0.4911,0.0477,0.4170,1.8747
Cpp 1 - 1,0.33,0.04,0.0091,0.2545,0.0000,0.107513,0.038956,0.118738,0.5288
Cpp 1 - 2,0.33,0.04,0.0000,0.2294,0.0037,0.074824,0.027393,0.104800,0.4401
Cpp 1 - 3,0.33,0.04,0.0000,0.0000,0.0000,0.000000,0.158344,0.055350,0.2137
Cpp 2 - 1,0.30,0.04,0.0000,0.0000,0.0000,0.000000,0.161137,0.062534,0.2237
Cpp 2 - 2,0.30,0.04,0.0000,0.0000,0.0000,0.000000,0.161437,0.065850,0.2273
Cpp 2 - 3,0.30,0.04,0.0079,0.0092,0.0179,0.039955,0.108422,0.113621,0.2970
Cpp 3 - 1,0.16,0.04,0.0000,0.0000,0.0000,0.000000,0.155231,0.053550,0.2088
Cpp 3 - 2,0.16,0.04,0.0000,0.0000,0.0000,0.000000,0.155006,0.045975,0.2010
Cpp 3 - 3,0.16,0.04,0.0000,0.0000,0.0000,0.000000,0.013121,0.048450,0.0616
Cpp 4 - 1,0.17,0.04,0.0000,0.1542,0.0000,0.000000,0.027036,0.063675,0.2449
Cpp 4 - 2,0.17,0.04,0.0000,0.0000,0.0000,0.000000,0.154237,0.051600,0.2058
Cpp 4 - 3,0.17,0.04,0.0000,0.0000,0.0000,0.000000,0.012516,0.058425,0.0709
Cpp 5 - 1,0.49,0.06,0.0000,0.1033,0.0030,0.031002,0.051805,0.161493,0.3506
Cpp 5 - 2,0.49,0.06,0.0000,0.0564,0.0003,0.032671,0.049322,0.154222,0.2929
Cpp 5 - 3,0.49,0.06,0.0000,0.0560,0.0003,0.029877,0.048633,0.121828,0.2566
Java 1 - 1,0.23,0.04,0.0000,0.0000,0.0000,0.000000,0.139058,0.022575,0.1616
Java 1 - 2,0.23,0.04,0.0000,0.0000,0.0000,0.000000,0.155539,0.022690,0.1782
Java 1 - 3,0.23,0.04,0.0640,0.0187,0.0000,0.060229,0.029330,0.068555,0.2408
Java 2 - 1,0.30,0.04,0.0129,0.1597,0.0007,0.0514,0.0584,0.0591,0.3422
Java 2 - 2,0.30,0.04,0.0129,0.1393,0.0000,0.000000,0.051028,0.040500,0.2437
Java 2 - 3,0.30,0.04,0.0068,0.1067,0.0081,0.135764,0.028111,0.084375,0.3699
Java 3 - 1,0.43,0.03,0.0124,0.3127,0.0223,0.000000,0.113063,0.045863,0.5063
Java 3 - 2,0.43,0.03,0.0166,0.4187,0.0299,0.000000,0.113344,0.030733,0.6093
Java 3 - 3,0.43,0.03,0.0013,0.0336,0.0024,0.000000,0.113438,0.033993,0.1847
Java 4 - 1,0.18,0.03,0.0000,0.0000,0.0000,0.000000,0.150682,0.036571,0.1873
Java 4 - 2,0.18,0.03,0.0000,0.0000,0.0000,0.000000,0.150532,0.028125,0.1787
Java 4 - 3,0.18,0.03,0.0000,0.0000,0.0000,0.000000,0.150532,0.030300,0.1808
Java 5 - 1,0.30,0.04,0.0000,0.0000,0.0000,0.000000,0.482482,0.029723,0.5122
Java 5 - 2,0.30,0.04,0.0000,0.0000,0.0000,0.000000,0.159701,0.054150,0.2139
Java 5 - 3,0.30,0.04,0.0000,0.0000,0.0000,0.000000,0.159701,0.013350,0.1731
