model_name,trial,rubric items deducted
Claude Opus 4,1,"2b,2c,2e,2g,3c,4b"
Claude Opus 4,2,"2b,2c,2e,2g,3c,4b"
Claude Opus 4,3,"2c,2f,2g,3c,4b"
Agentic Claude Opus 4,1,"2e,2g,3c"
Agentic Claude Opus 4,2,"2e,2g,3c"
Agentic Claude Opus 4,3,"2e,2g,3c"
Agentic Claude Opus 4,4,"2c,2f,2g,3c,4b"
Agentic Claude Opus 4,5,"2c,2f,2g,3c,4b"
Agentic Claude Opus 4,6,"2c,2f,2g,3c,4b"
Agentic Claude Opus 4,7,"2c,2f,2g,3c,4b"
Agentic Claude Opus 4,8,"2c,2f,2g,3c,4b"
Agentic Claude Opus 4,9,"2c,2f,2g,3c,4b"
